base,method,test_url,exists,nodes_total,nodes_ready,nodes_ok,codes,fastest_s,permanent_link,request_id
https://4everland.io/ipf,GET,https://4everland.io/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,5,404,0.127,https://check-host.net/check-report/2cad25efk639,2cad25efk639
https://alexdav.id/ipf,GET,https://alexdav.id/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,5,404,0.319,https://check-host.net/check-report/2cad2619k460,2cad2619k460
https://api.thegraph.com/ipf,GET,https://api.thegraph.com/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,5,404,0.458,https://check-host.net/check-report/2cad264bke69,2cad264bke69
https://api.univer,GET,https://api.univerQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2683kc35,2cad2683kc35
https://aragon.venture,GET,https://aragon.ventureQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2699k718,2cad2699k718
https://a,GET,https://aQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad26b7kcd,2cad26b7kcd
https://c4rex.co/ipf,GET,https://c4rex.co/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,2,200,0.865,https://check-host.net/check-report/2cad26c6kfca,2cad26c6kfca
https://cdn.cwinfo.net/ipf,GET,https://cdn.cwinfo.net/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,5,301,0.450,https://check-host.net/check-report/2cad2703k263,2cad2703k263
https://cdn.ipf,GET,https://cdn.ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad273ckd06,2cad273ckd06
https://cloudflare-ipf,GET,https://cloudflare-ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad275dkc43,2cad275dkc43
https://cru,GET,https://cruQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2790k558,2cad2790k558
https://cthd.icu/ipf,GET,https://cthd.icu/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad27e0kb91,2cad27e0kb91
https://dlunar.net/ipf,GET,https://dlunar.net/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2836ke17,2cad2836ke17
https://dweb.eu.org/ipf,GET,https://dweb.eu.org/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,4,403,0.048,https://check-host.net/check-report/2cad2869kd58,2cad2869kd58
https://dweb.link/ipf,GET,https://dweb.link/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,5,404,0.081,https://check-host.net/check-report/2cad28d5k4dd,2cad28d5k4dd
https://fleek.cool/ipf,GET,https://fleek.cool/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,5,404,0.437,https://check-host.net/check-report/2cad28fdk690,2cad28fdk690
https://flk-ipf,GET,https://flk-ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad291ckc5,2cad291ckc5
https://gateway.ipf,GET,https://gateway.ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2935k262,2cad2935k262
https://gateway.lighthou,GET,https://gateway.lighthouQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2950k912,2cad2950k912
https://gateway.originprotocol.com/ipf,GET,https://gateway.originprotocol.com/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2974k849,2cad2974k849
https://gateway.pinata.cloud/ipf,GET,https://gateway.pinata.cloud/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,5,401,0.181,https://check-host.net/check-report/2cad2984k437,2cad2984k437
https://gateway.,GET,https://gateway.QmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad299aka0b,2cad299aka0b
https://gravity.jup.io/ipf,GET,https://gravity.jup.io/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad29b8ke45,2cad29b8ke45
https://gw-,GET,https://gw-QmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad29cck8d7,2cad29cck8d7
https://gw.cru,GET,https://gw.cruQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad29dck4cd,2cad29dck4cd
https://gw.ipf,GET,https://gw.ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad29f2k10f,2cad29f2k10f
https://hardbin.com/ipf,GET,https://hardbin.com/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2a25k4c8,2cad2a25k4c8
https://ha,GET,https://haQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2a59k7ba,2cad2a59k7ba
https://hub.textile.io/ipf,GET,https://hub.textile.io/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2a6ekb90,2cad2a6ekb90
https://infura-ipf,GET,https://infura-ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2c73kdea,2cad2c73kdea
https://ipf,GET,https://ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2ca8kb9,2cad2ca8kb9
https://ipn,GET,https://ipnQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2cc2kdea,2cad2cc2kdea
https://jorropo.net/ipf,GET,https://jorropo.net/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2d0ck1f1,2cad2d0ck1f1
https://konubinix.eu/ipf,GET,https://konubinix.eu/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,5,404,0.181,https://check-host.net/check-report/2cad2d2cke5d,2cad2d2cke5d
https://magic.decentralized-content.com/ipf,GET,https://magic.decentralized-content.com/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,5,404,0.530,https://check-host.net/check-report/2cad2d3ek795,2cad2d3ek795
https://natoboram.mynetgear.com/ipf,GET,https://natoboram.mynetgear.com/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2d74k399,2cad2d74k399
https://nft,GET,https://nftQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2d93k680,2cad2d93k680
https://ninetailed.ninja/ipf,GET,https://ninetailed.ninja/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,5,404,0.145,https://check-host.net/check-report/2cad2db8k8e8,2cad2db8k8e8
https://permaweb.eu.org/ipf,GET,https://permaweb.eu.org/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,5,403,0.050,https://check-host.net/check-report/2cad2ddekf21,2cad2ddekf21
https://permaweb.io/ipf,GET,https://permaweb.io/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,5,200,0.414,https://check-host.net/check-report/2cad2dfdk9c6,2cad2dfdk9c6
https://ravencoinipf,GET,https://ravencoinipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2e14k301,2cad2e14k301
https://tru,GET,https://truQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2e2fk215,2cad2e2fk215
https://tth-ipf,GET,https://tth-ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2e45k7f8,2cad2e45k7f8
https://via0.com/ipf,GET,https://via0.com/ipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,1,5,5,5,403,0.044,https://check-host.net/check-report/2cad2e64k610,2cad2e64k610
https://video.oneloveipf,GET,https://video.oneloveipfQmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2e95kaf3,2cad2e95kaf3
https://w3,GET,https://w3QmesMDnH9dy3Unxj9Du7S6bvG197XcGSrBwLPeKt7fkDSR,0,5,5,0,,,https://check-host.net/check-report/2cad2eackd8a,2cad2eackd8a
